time,magnitude,sigma_time,sigma_amp,cov_time_amp,gamma_score,num_picks,num_p_picks,num_s_picks,event_index,x(km),y(km),z(km)
2016-10-30T00:24:51.655,999,0.08988869860636949,0,0,5.0,5,3,2,1,340.6263095799143,4763.066144670307,1.8529244284015436
2016-10-30T00:01:28.091,999,0.15820913158698025,0,0,8.873418371833525,9,5,4,3,340.2279278913014,4770.751271869559,6.519568468624186
2016-10-30T00:40:52.214,999,0.07023317830458663,0,0,5.0,5,3,2,2,338.46642442117616,4766.259518231818,2.2357335061859267
2016-10-30T00:07:23.825,999,0.07266625733884871,0,0,6.0,6,3,3,0,347.0198915264677,4744.176912852682,18.940543649480134
2016-10-30T00:21:25.993,999,0.04765025894781422,0,0,5.0,5,3,2,4,337.9297734857638,4766.011825449152,2.8649567563896863
2016-10-30T00:32:05.242,999,0.05569366504594044,0,0,6.0,6,3,3,5,346.1893325856474,4743.059060405197,18.813058532995385
2016-10-30T00:43:44.714,999,0.0012199355896357262,0,0,5.0,5,3,2,6,355.37177316715656,4748.719731111963,13.575367442369865
2016-10-30T00:37:14.108,999,0.08360161086969928,0,0,4.0,4,3,1,7,342.3969626198139,4751.226486477213,0.0
2016-10-30T00:30:38.659,999,0.0693286872338646,0,0,6.0,6,3,3,8,360.0116409717834,4751.083604897142,9.1539846960914
2016-10-30T00:11:47.674,999,0.12609136398269022,0,0,6.0,6,3,3,9,351.50463484798865,4751.595721452381,15.377990136792612
2016-10-30T00:12:19.611,999,0.09277877192110906,0,0,6.0,6,3,3,10,342.1474085698477,4751.086250604493,18.139257225832075
2016-10-30T00:18:27.953,999,0.0785591079198002,0,0,5.8741164834021085,6,3,3,16,346.5621730863189,4746.602390333633,17.873915481206144
2016-10-30T00:42:26.255,999,0.0025478550051686636,0,0,5.0,5,3,2,11,347.9172203275233,4744.128652049135,20.793344561377435
2016-10-30T00:04:40.550,999,0.09513651698643665,0,0,6.0,6,3,3,12,351.52764782425817,4756.762784637233,13.76086427290383
2016-10-30T00:14:23.934,999,0.09028887011242293,0,0,6.0,6,3,3,13,343.3025118725422,4746.19328387399,16.784722885220646
2016-10-30T00:10:37.122,999,0.06900774511453088,0,0,6.0,6,3,3,14,344.6349487292057,4743.943983588021,17.439329749770252
2016-10-30T00:40:18.100,999,0.07887390031072762,0,0,5.0,5,3,2,15,337.72498088265377,4765.874187073969,1.4338163990649675
