id,timestamp,prob,type,event_idx,event_index,prob_gamma
RM33,2016-10-30 00:19:32.070,0.5369401,s,,,
FDMO,2016-10-30 00:20:37.160,0.9428674,p,,,
FDMO,2016-10-30 00:20:38.090,0.7766212,s,,,
MMO1,2016-10-30 00:20:40.910,0.6672114,p,,,
MMO1,2016-10-30 00:20:45.270,0.83523804,s,,,
FDMO,2016-10-30 00:21:27.460,0.92594814,p,4.0,4.0,0.41898617617020856
FDMO,2016-10-30 00:21:28.380,0.8813863,s,4.0,4.0,0.3999873950194997
MMO1,2016-10-30 00:21:31.390,0.9401854,p,4.0,4.0,0.4254269917100938
MMO1,2016-10-30 00:21:35.480,0.78994083,s,4.0,4.0,0.35848991599817975
RM33,2016-10-30 00:21:36.980,0.8077678,p,4.0,4.0,0.367118294955167
FDMO,2016-10-30 00:22:13.780,0.8724034,p,,,
FDMO,2016-10-30 00:22:14.550,0.7370406,s,,,
MMO1,2016-10-30 00:22:17.840,0.9347862,p,,,
MMO1,2016-10-30 00:22:21.840,0.8595561,s,,,
FDMO,2016-10-30 00:23:47.160,0.94567436,p,,,
MMO1,2016-10-30 00:23:48.300,0.86329305,p,,,
FDMO,2016-10-30 00:23:49.650,0.6184865,s,,,
MMO1,2016-10-30 00:23:51.820,0.7757877,s,,,
MMO1,2016-10-30 00:23:59.960,0.89744246,p,,,
RM33,2016-10-30 00:24:02.620,0.9082263,p,,,
MMO1,2016-10-30 00:24:03.060,0.8118666,s,,,
RM33,2016-10-30 00:24:08.220,0.5660807,s,,,
FDMO,2016-10-30 00:24:52.880,0.968717,p,1.0,1.0,0.2958455385415227
FDMO,2016-10-30 00:24:53.490,0.6539475,s,1.0,1.0,0.20248545682782987
MMO1,2016-10-30 00:24:56.280,0.96189976,p,1.0,1.0,0.293735949927479
MMO1,2016-10-30 00:24:59.940,0.6299758,s,1.0,1.0,0.1950533831167127
RM33,2016-10-30 00:25:01.990,0.8055851,p,1.0,1.0,0.251140637641914
FDMO,2016-10-30 00:25:12.420,0.70934045,p,,,
MMO1,2016-10-30 00:25:13.720,0.8939068,p,,,
FDMO,2016-10-30 00:25:14.290,0.663812,s,,,
MMO1,2016-10-30 00:25:16.490,0.8929714,s,,,
RM33,2016-10-30 00:25:48.320,0.5236721,p,,,
MMO1,2016-10-30 00:25:49.400,0.95387936,p,,,
MMO1,2016-10-30 00:25:51.710,0.94247806,s,,,
FDMO,2016-10-30 00:26:27.170,0.9352604,p,,,
FDMO,2016-10-30 00:26:27.970,0.5303791,s,,,
MMO1,2016-10-30 00:26:31.090,0.85258937,p,,,
MMO1,2016-10-30 00:26:35.180,0.62196374,s,,,
FDMO,2016-10-30 00:27:45.880,0.91213673,p,,,
FDMO,2016-10-30 00:27:46.930,0.833694,s,,,
MMO1,2016-10-30 00:27:48.610,0.92840177,p,,,
MMO1,2016-10-30 00:27:52.070,0.9051169,s,,,
FDMO,2016-10-30 00:28:45.860,0.89076144,p,,,
FDMO,2016-10-30 00:28:46.440,0.5321497,s,,,
MMO1,2016-10-30 00:28:49.190,0.95463705,p,,,
MMO1,2016-10-30 00:28:52.670,0.8884439,s,,,
MMO1,2016-10-30 00:30:40.750,0.9797292,p,8.0,8.0,0.4440303049695991
MMO1,2016-10-30 00:30:42.000,0.8936806,s,8.0,8.0,0.40883660106833164
FDMO,2016-10-30 00:30:43.030,0.71108335,p,8.0,8.0,0.32529998310105723
FDMO,2016-10-30 00:30:46.380,0.6405682,s,8.0,8.0,0.2939595374529024
RM33,2016-10-30 00:30:46.610,0.8820416,p,8.0,8.0,0.40440018443259074
RM33,2016-10-30 00:30:52.530,0.599507,s,8.0,8.0,0.2753190308671617
MMO1,2016-10-30 00:32:09.990,0.89665955,p,5.0,5.0,0.394218677028261
FDMO,2016-10-30 00:32:10.510,0.97622144,p,5.0,5.0,0.43000922556213544
RM33,2016-10-30 00:32:12.050,0.9749757,p,5.0,5.0,0.42644530751274806
MMO1,2016-10-30 00:32:13.320,0.7552916,s,5.0,5.0,0.3327564922664803
FDMO,2016-10-30 00:32:14.270,0.8505769,s,5.0,5.0,0.3749718874766466
RM33,2016-10-30 00:32:17.240,0.81956595,s,5.0,5.0,0.36045515183138993
MMO1,2016-10-30 00:32:53.280,0.6882154,p,,,
FDMO,2016-10-30 00:32:53.780,0.87555695,p,,,
MMO1,2016-10-30 00:32:56.460,0.5519473,s,,,
FDMO,2016-10-30 00:32:57.430,0.75902593,s,,,
MMO1,2016-10-30 00:33:29.000,0.5447483,s,,,
MMO1,2016-10-30 00:34:41.930,0.51076245,p,,,
MMO1,2016-10-30 00:34:44.730,0.75771236,s,,,
MMO1,2016-10-30 00:36:42.420,0.52153635,s,,,
FDMO,2016-10-30 00:37:16.900,0.93479854,p,7.0,7.0,0.313604015705706
MMO1,2016-10-30 00:37:17.960,0.9514865,p,7.0,7.0,0.31952771124135954
RM33,2016-10-30 00:37:22.380,0.67312086,p,7.0,7.0,0.22382823099867588
RM33,2016-10-30 00:37:28.100,0.55847394,s,7.0,7.0,0.1864215943249126
MMO1,2016-10-30 00:38:15.900,0.8083303,p,,,
MMO1,2016-10-30 00:38:17.650,0.9159473,s,,,
