id,timestamp,prob,type
IV.FDMO.,2016-10-30 02:57:29.890,0.94861895,s
IV.FDMO.,2016-10-30 02:59:26.120,0.9524808,p
IV.FDMO.,2016-10-30 02:59:27.020,0.86417264,s
IV.FDMO.,2016-10-30 03:01:02.020,0.8344743,p
IV.FDMO.,2016-10-30 03:02:05.350,0.7269636,s
IV.FDMO.,2016-10-30 03:03:17.850,0.9665753,p
IV.FDMO.,2016-10-30 03:03:20.670,0.853391,s
IV.FDMO.,2016-10-30 03:07:27.940,0.9860386,p
IV.FDMO.,2016-10-30 03:07:28.970,0.95897806,s
IV.FDMO.,2016-10-30 03:08:29.190,0.98396873,p
IV.FDMO.,2016-10-30 03:08:30.320,0.85429335,s
IV.FDMO.,2016-10-30 03:08:45.630,0.6452637,p
IV.FDMO.,2016-10-30 03:08:48.810,0.5934445,s
IV.FDMO.,2016-10-30 03:09:24.380,0.92130965,p
IV.FDMO.,2016-10-30 03:09:27.690,0.6090579,s
IV.FDMO.,2016-10-30 03:11:57.950,0.9631257,p
IV.FDMO.,2016-10-30 03:12:01.690,0.6016252,s
IV.FDMO.,2016-10-30 03:14:08.890,0.74633604,p
IV.FDMO.,2016-10-30 03:14:45.320,0.7463027,p
IV.FDMO.,2016-10-30 03:14:46.330,0.82645714,s
IV.FDMO.,2016-10-30 03:15:13.440,0.88000417,p
IV.FDMO.,2016-10-30 03:15:44.590,0.7669617,p
IV.FDMO.,2016-10-30 03:15:47.960,0.5712744,s
IV.FDMO.,2016-10-30 03:15:59.730,0.54128385,p
IV.FDMO.,2016-10-30 03:16:01.750,0.52672434,s
IV.FDMO.,2016-10-30 03:17:43.840,0.9827154,p
IV.FDMO.,2016-10-30 03:17:45.910,0.93648124,s
IV.FDMO.,2016-10-30 03:18:50.290,0.7500764,p
IV.FDMO.,2016-10-30 03:18:53.710,0.6054253,s
IV.FDMO.,2016-10-30 03:21:57.160,0.727726,p
IV.FDMO.,2016-10-30 03:21:58.570,0.62574357,s
IV.FDMO.,2016-10-30 03:24:22.490,0.54025584,s
IV.FDMO.,2016-10-30 03:25:34.760,0.84457076,p
IV.FDMO.,2016-10-30 03:25:35.960,0.8384842,s
IV.FDMO.,2016-10-30 03:28:37.960,0.8394806,p
IV.FDMO.,2016-10-30 03:28:40.800,0.7881017,s
IV.FDMO.,2016-10-30 03:30:49.800,0.9347065,p
IV.FDMO.,2016-10-30 03:30:50.690,0.68128085,s
IV.FDMO.,2016-10-30 03:33:08.580,0.9034887,p
IV.FDMO.,2016-10-30 03:33:11.300,0.8217169,s
IV.FDMO.,2016-10-30 03:35:17.100,0.518002,p
IV.FDMO.,2016-10-30 03:36:12.790,0.5235546,s
IV.FDMO.,2016-10-30 03:37:14.950,0.88730574,p
IV.FDMO.,2016-10-30 03:37:17.780,0.7176782,s
IV.FDMO.,2016-10-30 03:39:48.180,0.903088,p
IV.FDMO.,2016-10-30 03:40:16.490,0.66699207,p
IV.FDMO.,2016-10-30 03:40:17.380,0.6647862,s
IV.FDMO.,2016-10-30 03:41:56.030,0.9126474,p
IV.FDMO.,2016-10-30 03:42:36.140,0.89379704,p
