id,timestamp,prob,type
IV.MMO1.,2016-10-30 00:24:03.060,0.8118666,s
IV.RM33.,2016-10-30 00:24:08.220,0.5660807,s
IV.FDMO.,2016-10-30 00:24:52.880,0.968717,p
IV.FDMO.,2016-10-30 00:24:53.490,0.6539475,s
IV.MMO1.,2016-10-30 00:24:56.280,0.96189976,p
IV.MMO1.,2016-10-30 00:24:59.940,0.6299758,s
IV.RM33.,2016-10-30 00:25:01.990,0.8055851,p
IV.FDMO.,2016-10-30 00:25:12.420,0.70934045,p
IV.MMO1.,2016-10-30 00:25:13.720,0.8939068,p
IV.FDMO.,2016-10-30 00:25:14.290,0.663812,s
IV.MMO1.,2016-10-30 00:25:16.490,0.8929714,s
IV.RM33.,2016-10-30 00:25:48.320,0.5236721,p
IV.MMO1.,2016-10-30 00:25:49.400,0.95387936,p
IV.MMO1.,2016-10-30 00:25:51.710,0.94247806,s
IV.FDMO.,2016-10-30 00:26:27.170,0.9352604,p
IV.FDMO.,2016-10-30 00:26:27.970,0.5303791,s
IV.MMO1.,2016-10-30 00:26:31.090,0.85258937,p
IV.MMO1.,2016-10-30 00:26:35.180,0.62196374,s
IV.FDMO.,2016-10-30 00:27:45.880,0.91213673,p
IV.FDMO.,2016-10-30 00:27:46.930,0.833694,s
IV.MMO1.,2016-10-30 00:27:48.610,0.92840177,p
IV.MMO1.,2016-10-30 00:27:52.070,0.9051169,s
IV.FDMO.,2016-10-30 00:28:45.860,0.89076144,p
IV.FDMO.,2016-10-30 00:28:46.440,0.5321497,s
IV.MMO1.,2016-10-30 00:28:49.190,0.95463705,p
IV.MMO1.,2016-10-30 00:28:52.670,0.8884439,s
IV.MMO1.,2016-10-30 00:30:40.750,0.9797292,p
IV.MMO1.,2016-10-30 00:30:42.000,0.8936806,s
IV.FDMO.,2016-10-30 00:30:43.030,0.71108335,p
IV.FDMO.,2016-10-30 00:30:46.380,0.6405682,s
IV.RM33.,2016-10-30 00:30:46.610,0.8820416,p
IV.RM33.,2016-10-30 00:30:52.530,0.599507,s
IV.MMO1.,2016-10-30 00:32:09.990,0.89665955,p
